Bus,name
8838,GB0 Z9
7421,BE1 0
8513,DE1 0
8726,FR1 0
7708,FR1 0
8313,FR1 0
8622,NO2 0
8828,DE1 0
8775,SE2 0
8386,FR1 0
8333,FR1 0
7979,FR1 0
8853,FR1 0
8013,GB0 Z2
8807,DE1 0
2296,FR1 0
2298,FR1 0
2299,FR1 0
2300,FR1 0
2301,FR1 0
2303,FR1 0
2305,FR1 0
2309,FR1 0
2310,FR1 0
2312,FR1 0
2313,FR1 0
2314,FR1 0
2318,FR1 0
2319,FR1 0
2323,FR1 0
2325,FR1 0
2326,FR1 0
2327,FR1 0
2329,FR1 0
2330,FR1 0
2342,FR1 0
2343,FR1 0
2387,FR1 0
2389,FR1 0
2390,FR1 0
2391,FR1 0
2396,FR1 0
2398,FR1 0
2399,FR1 0
2401,FR1 0
2402,FR1 0
2403,FR1 0
2409,FR1 0
2410,FR1 0
2411,FR1 0
2417,FR1 0
2419,FR1 0
2421,FR1 0
2422,FR1 0
2423,FR1 0
2424,FR1 0
2425,FR1 0
2430,FR1 0
2432,FR1 0
2469,FR1 0
2476,FR1 0
2502,FR1 0
2504,FR1 0
2505,FR1 0
2506,FR1 0
2507,FR1 0
2508,FR1 0
2509,FR1 0
2510,FR1 0
2511,FR1 0
2513,FR1 0
2514,FR1 0
2515,FR1 0
2517,FR1 0
2519,FR1 0
2520,FR1 0
2521,FR1 0
2522,FR1 0
2524,FR1 0
2525,FR1 0
2529,FR1 0
2530,FR1 0
2531,FR1 0
2533,FR1 0
2534,FR1 0
2535,FR1 0
2536,FR1 0
2537,FR1 0
2538,FR1 0
2540,FR1 0
2541,FR1 0
2543,FR1 0
2544,FR1 0
2545,FR1 0
2547,FR1 0
2549,FR1 0
2550,FR1 0
2551,FR1 0
2552,FR1 0
2553,FR1 0
2554,FR1 0
2556,FR1 0
7141,FR1 0
2558,FR1 0
2559,FR1 0
2561,FR1 0
2563,FR1 0
2564,FR1 0
2565,FR1 0
2566,FR1 0
2567,FR1 0
2568,FR1 0
2571,FR1 0
2572,FR1 0
2573,FR1 0
2574,FR1 0
2576,FR1 0
2577,FR1 0
2578,FR1 0
2579,FR1 0
2580,FR1 0
7208,DE1 0
2692,FR1 0
2693,FR1 0
2694,FR1 0
2696,FR1 0
2697,FR1 0
2698,FR1 0
2700,FR1 0
2702,FR1 0
2704,FR1 0
2706,FR1 0
2707,FR1 0
2708,FR1 0
7207,DE1 0
2711,FR1 0
2764,FR1 0
3371,DE1 0
3372,DE1 0
3373,DE1 0
3374,DE1 0
3375,DE1 0
3378,DE1 0
3379,DE1 0
3381,DE1 0
3391,DE1 0
3394,DE1 0
3396,DE1 0
3540,FR1 0
3517,FR1 0
3521,FR1 0
3524,FR1 0
3525,FR1 0
3529,FR1 0
3530,FR1 0
3536,FR1 0
3537,FR1 0
3539,FR1 0
3542,FR1 0
3544,FR1 0
3546,FR1 0
3550,FR1 0
3552,FR1 0
3553,FR1 0
3555,FR1 0
3556,FR1 0
3558,FR1 0
3560,FR1 0
3561,FR1 0
3562,FR1 0
3563,FR1 0
3564,FR1 0
3566,DE1 0
3571,DE1 0
3572,DE1 0
3573,DE1 0
3577,FR1 0
3578,FR1 0
3580,FR1 0
3582,FR1 0
3585,FR1 0
3598,DE1 0
3600,DE1 0
3602,DE1 0
3627,FR1 0
3630,FR1 0
3638,FR1 0
3645,FR1 0
3652,FR1 0
3653,FR1 0
3655,FR1 0
3657,FR1 0
3658,FR1 0
3660,FR1 0
3662,FR1 0
3664,FR1 0
3665,FR1 0
3668,FR1 0
3670,FR1 0
3672,FR1 0
3678,FR1 0
3680,FR1 0
3683,FR1 0
3684,FR1 0
3685,FR1 0
3686,FR1 0
3687,FR1 0
3689,FR1 0
7808,DE1 0
7807,DE1 0
3741,DE1 0
3743,DE1 0
3745,DE1 0
3747,DE1 0
3748,DE1 0
3749,DE1 0
3750,DE1 0
3751,DE1 0
3752,DE1 0
3754,DE1 0
3755,DE1 0
3778,DE1 0
3779,DE1 0
3792,DE1 0
3793,DE1 0
3794,DE1 0
3796,DE1 0
3798,DE1 0
3799,DE1 0
3803,DE1 0
3806,DE1 0
7460,DE1 0
3931,FR1 0
3933,FR1 0
3938,FR1 0
3942,FR1 0
3944,FR1 0
3945,FR1 0
3946,FR1 0
3947,FR1 0
3951,FR1 0
3953,FR1 0
3954,FR1 0
3960,FR1 0
3966,FR1 0
3968,FR1 0
3969,FR1 0
3971,FR1 0
3974,FR1 0
3976,FR1 0
3978,FR1 0
3979,FR1 0
3983,FR1 0
3984,FR1 0
3987,FR1 0
3988,FR1 0
3992,FR1 0
3993,FR1 0
3994,FR1 0
3995,FR1 0
3996,FR1 0
3999,FR1 0
4001,FR1 0
4002,FR1 0
4005,FR1 0
4007,FR1 0
4008,FR1 0
4011,FR1 0
4013,FR1 0
4015,FR1 0
4017,FR1 0
4019,FR1 0
4020,FR1 0
4023,FR1 0
4026,FR1 0
4027,FR1 0
4029,FR1 0
4030,FR1 0
4034,FR1 0
4036,FR1 0
4040,FR1 0
4042,FR1 0
4043,FR1 0
4045,FR1 0
4046,FR1 0
4047,FR1 0
4049,FR1 0
4051,FR1 0
4055,FR1 0
4060,FR1 0
4061,FR1 0
4063,FR1 0
4064,FR1 0
4065,FR1 0
4066,FR1 0
4068,FR1 0
4069,FR1 0
4073,FR1 0
4075,FR1 0
4076,FR1 0
4077,FR1 0
4079,FR1 0
4080,FR1 0
4081,FR1 0
4086,FR1 0
4087,FR1 0
4089,FR1 0
4091,FR1 0
4094,FR1 0
4097,FR1 0
4099,FR1 0
4100,FR1 0
4102,FR1 0
4103,FR1 0
4108,FR1 0
4109,FR1 0
4110,FR1 0
4112,FR1 0
4113,FR1 0
4116,FR1 0
4117,FR1 0
4120,FR1 0
4121,FR1 0
4122,FR1 0
4123,FR1 0
4125,FR1 0
4126,FR1 0
4128,FR1 0
4129,FR1 0
4131,FR1 0
4133,FR1 0
4134,FR1 0
4135,FR1 0
4136,FR1 0
4137,FR1 0
4138,FR1 0
4139,FR1 0
4142,FR1 0
4144,FR1 0
4145,FR1 0
4146,FR1 0
4147,FR1 0
4150,FR1 0
4151,FR1 0
4152,FR1 0
4153,FR1 0
4155,FR1 0
4156,FR1 0
4157,FR1 0
4159,FR1 0
4161,FR1 0
4162,FR1 0
4166,FR1 0
4167,FR1 0
4168,FR1 0
4170,FR1 0
4172,FR1 0
4174,FR1 0
4175,FR1 0
4176,FR1 0
4178,FR1 0
4180,FR1 0
4181,FR1 0
4182,FR1 0
4184,FR1 0
4185,FR1 0
4186,FR1 0
4188,FR1 0
4189,FR1 0
4190,FR1 0
4192,FR1 0
4194,FR1 0
4196,FR1 0
4197,FR1 0
4198,FR1 0
4199,FR1 0
4201,FR1 0
4202,FR1 0
4205,FR1 0
4206,FR1 0
4208,FR1 0
4210,FR1 0
4213,FR1 0
4215,FR1 0
7859,FR1 0
8649,GB0 Z11
7422,BE1 0
4548,DE1 0
4553,DE1 0
4554,DE1 0
4557,DE1 0
4559,DE1 0
4562,DE1 0
4565,DE1 0
4566,DE1 0
4567,DE1 0
4568,DE1 0
4571,DE1 0
4573,DE1 0
4577,DE1 0
4584,DE1 0
4585,DE1 0
4589,DE1 0
4590,DE1 0
4592,DE1 0
7775,FR1 0
4620,DE1 0
4625,DE1 0
4626,DE1 0
4627,DE1 0
4629,DE1 0
4666,DE1 0
4679,NL1 0
4680,NL1 0
4681,NL1 0
4683,NL1 0
4685,DE1 0
4686,BE1 0
4687,NL1 0
4691,DE1 0
4693,DE1 0
4695,DE1 0
4697,DE1 0
4698,DE1 0
4700,DE1 0
4701,DE1 0
4703,DE1 0
4705,DE1 0
4709,DE1 0
4710,DE1 0
4713,DE1 0
4715,DE1 0
4716,DE1 0
4717,DE1 0
4719,DE1 0
4720,DE1 0
4722,DE1 0
4723,DE1 0
4724,DE1 0
4728,DE1 0
4730,DE1 0
4731,DE1 0
4733,DE1 0
4736,DE1 0
4738,DE1 0
4740,DE1 0
4742,DE1 0
4744,DE1 0
4746,DE1 0
4748,DE1 0
4749,DE1 0
4750,DE1 0
4752,DE1 0
4754,DE1 0
4755,DE1 0
4757,DE1 0
4759,DE1 0
4761,DE1 0
4763,DE1 0
4765,DE1 0
4766,DE1 0
4768,DE1 0
4773,DE1 0
4775,DE1 0
4777,DE1 0
4778,DE1 0
4779,DE1 0
4781,BE1 0
4783,BE1 0
4784,BE1 0
4785,BE1 0
4786,BE1 0
4788,BE1 0
4790,BE1 0
4792,LU1 0
4793,DE1 0
4794,LU1 0
4795,DE1 0
4796,DE1 0
4798,DE1 0
4800,DE1 0
4801,BE1 0
4803,BE1 0
4804,LU1 0
4805,FR1 0
4806,LU1 0
4807,LU1 0
4808,LU1 0
4809,LU1 0
4810,LU1 0
4811,LU1 0
4812,LU1 0
4813,LU1 0
4815,LU1 0
4817,FR1 0
4819,FR1 0
4820,FR1 0
4821,FR1 0
4824,FR1 0
4831,DE1 0
4832,DE1 0
4834,DE1 0
4836,DE1 0
4839,FR1 0
4841,DE1 0
4845,DE1 0
4846,DE1 0
4847,DE1 0
4848,DE1 0
4849,DE1 0
4850,DE1 0
4852,DE1 0
4853,DE1 0
4854,DE1 0
4859,DE1 0
4861,DE1 0
4863,DE1 0
4864,DE1 0
4865,DE1 0
4867,DE1 0
4869,DE1 0
4870,DE1 0
4871,DE1 0
4876,DE1 0
4877,DE1 0
4883,DE1 0
4884,DE1 0
4885,DE1 0
4886,DE1 0
4887,DE1 0
4888,DE1 0
4890,DE1 0
4891,DE1 0
4892,DE1 0
4893,DE1 0
4896,DE1 0
4898,DE1 0
4900,DE1 0
4901,DE1 0
4902,DE1 0
4905,DE1 0
4907,DE1 0
4909,DE1 0
4911,DE1 0
4913,DE1 0
