Macrotrends Data Download

Euro British Pound Exchange Rate (EUR GBP) - Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1999-01-04,0.7120
1999-01-05,0.7110
1999-01-06,0.7022
1999-01-07,0.7091
1999-01-08,0.7050
1999-01-11,0.7060
1999-01-12,0.7090
1999-01-13,0.7074
1999-01-14,0.7062
1999-01-15,0.6995
1999-01-19,0.7003
1999-01-20,0.7030
1999-01-21,0.7015
1999-01-22,0.6993
1999-01-25,0.6969
1999-01-26,0.6964
1999-01-27,0.6940
1999-01-28,0.6919
1999-01-29,0.6902
1999-02-01,0.6883
1999-02-02,0.6918
1999-02-03,0.6908
1999-02-04,0.6886
1999-02-05,0.6898
1999-02-08,0.6911
1999-02-09,0.6900
1999-02-10,0.6958
1999-02-11,0.6916
1999-02-12,0.6908
1999-02-16,0.6856
1999-02-17,0.6879
1999-02-18,0.6847
1999-02-19,0.6826
1999-02-22,0.6782
1999-02-23,0.6821
1999-02-24,0.6891
1999-02-25,0.6883
1999-02-26,0.6873
1999-03-01,0.6763
1999-03-02,0.6763
1999-03-03,0.6747
1999-03-04,0.6707
1999-03-05,0.6738
1999-03-08,0.6769
1999-03-09,0.6726
1999-03-10,0.6728
1999-03-11,0.6738
1999-03-12,0.6682
1999-03-15,0.6735
1999-03-16,0.6749
1999-03-17,0.6744
1999-03-18,0.6732
1999-03-19,0.6690
1999-03-22,0.6703
1999-03-23,0.6664
1999-03-24,0.6660
1999-03-25,0.6675
1999-03-26,0.6635
1999-03-29,0.6641
1999-03-30,0.6644
1999-03-31,0.6686
1999-04-01,0.6724
1999-04-05,0.6696
1999-04-06,0.6802
1999-04-07,0.6749
1999-04-08,0.6691
1999-04-09,0.6708
1999-04-12,0.6706
1999-04-13,0.6666
1999-04-14,0.6692
1999-04-15,0.6652
1999-04-16,0.6629
1999-04-19,0.6614
1999-04-20,0.6593
1999-04-21,0.6604
1999-04-22,0.6580
1999-04-23,0.6569
1999-04-26,0.6565
1999-04-27,0.6587
1999-04-28,0.6587
