,temp-4.5C to -1.5C,temp-1.5C to 1.5C,temp1.5C to 4.5C,temp4.5C to 7.5C,temp7.5C to 10.5C,temp10.5C to 13.5C,temp13.5C to 16.5C,temp16.5C to 19.5C
12:30:00 AM,0.018665,0.018455,0.017137,0.016899,0.017416,0.01904,0.01885,0.01801
1:00:00 AM,0.018598,0.018448,0.017161,0.016824,0.017448,0.019391,0.019226,0.01835
1:30:00 AM,0.018727,0.018487,0.017253,0.016783,0.017498,0.019585,0.01944,0.018791
2:00:00 AM,0.019013,0.018549,0.017354,0.016832,0.017573,0.019551,0.019341,0.018554
2:30:00 AM,0.019346,0.018698,0.017651,0.017095,0.017903,0.019886,0.019718,0.018732
3:00:00 AM,0.019699,0.018898,0.018102,0.017498,0.018353,0.020204,0.020111,0.018429
3:30:00 AM,0.020162,0.019158,0.01864,0.01797,0.018824,0.020616,0.020593,0.01838
4:00:00 AM,0.020565,0.019424,0.019031,0.0183,0.019043,0.020574,0.020346,0.017314
4:30:00 AM,0.020794,0.019762,0.019472,0.018794,0.019428,0.020854,0.020761,0.017417
5:00:00 AM,0.02081,0.020143,0.020051,0.0195,0.020174,0.021502,0.021755,0.018411
5:30:00 AM,0.020615,0.020686,0.020997,0.020676,0.021613,0.023128,0.024183,0.021233
6:00:00 AM,0.020712,0.021491,0.022193,0.022092,0.023495,0.025354,0.026897,0.024511
6:30:00 AM,0.021471,0.022644,0.023693,0.023884,0.025737,0.027976,0.029957,0.028284
7:00:00 AM,0.023123,0.023982,0.025225,0.025611,0.027752,0.030162,0.032088,0.031407
7:30:00 AM,0.024733,0.025091,0.026444,0.026862,0.028893,0.030963,0.032589,0.032772
8:00:00 AM,0.02568,0.025656,0.026987,0.027231,0.028949,0.030563,0.031723,0.032767
8:30:00 AM,0.025643,0.025548,0.026807,0.026877,0.028098,0.029175,0.030278,0.032026
9:00:00 AM,0.025092,0.024992,0.026041,0.026028,0.026775,0.027475,0.028588,0.03079
9:30:00 AM,0.024221,0.024113,0.024852,0.024822,0.02511,0.025338,0.026606,0.028741
10:00:00 AM,0.023031,0.023112,0.023412,0.023343,0.023305,0.023124,0.024201,0.02577
10:30:00 AM,0.021787,0.022017,0.021963,0.021881,0.021633,0.021071,0.022101,0.022938
11:00:00 AM,0.020541,0.020985,0.02066,0.020645,0.020181,0.019336,0.020222,0.020596
11:30:00 AM,0.019507,0.020079,0.019623,0.019733,0.019045,0.01793,0.018789,0.019259
12:00:00 PM,0.018488,0.01933,0.018815,0.019021,0.0181,0.016852,0.017495,0.018452
12:30:00 PM,0.017635,0.018721,0.018237,0.018488,0.01742,0.016116,0.01642,0.017741
1:00:00 PM,0.017059,0.018258,0.017822,0.018126,0.016969,0.015664,0.015637,0.016813
1:30:00 PM,0.016911,0.018014,0.017579,0.017961,0.0167,0.015335,0.015047,0.01581
2:00:00 PM,0.016957,0.017936,0.017489,0.017905,0.016469,0.015004,0.014517,0.015069
2:30:00 PM,0.017122,0.017922,0.017549,0.017912,0.016321,0.014721,0.01404,0.014839
3:00:00 PM,0.017349,0.018054,0.017787,0.0181,0.016427,0.014591,0.013773,0.014912
3:30:00 PM,0.01814,0.018506,0.018337,0.01866,0.017015,0.014775,0.013893,0.015219
4:00:00 PM,0.01921,0.019399,0.019258,0.01964,0.017966,0.015164,0.014209,0.015372
4:30:00 PM,0.020475,0.020467,0.020463,0.02085,0.019188,0.01596,0.01492,0.01603
5:00:00 PM,0.021284,0.021411,0.02165,0.02202,0.020425,0.017101,0.016053,0.017089
5:30:00 PM,0.021977,0.022094,0.022596,0.022949,0.021647,0.0187,0.017946,0.019038
6:00:00 PM,0.022547,0.022546,0.023271,0.023604,0.022707,0.020368,0.020074,0.020981
6:30:00 PM,0.023106,0.022858,0.023708,0.024004,0.023514,0.021889,0.021969,0.022722
7:00:00 PM,0.023252,0.023008,0.023957,0.02421,0.023955,0.022922,0.022885,0.023558
7:30:00 PM,0.023104,0.023061,0.023921,0.024168,0.024017,0.023428,0.023096,0.023836
8:00:00 PM,0.022894,0.023016,0.023686,0.023878,0.0238,0.023453,0.022636,0.023553
8:30:00 PM,0.022859,0.022797,0.02328,0.023388,0.023398,0.023174,0.022051,0.02288
9:00:00 PM,0.022766,0.02236,0.022766,0.022779,0.022833,0.022642,0.021168,0.021728
9:30:00 PM,0.022499,0.021759,0.022062,0.022015,0.022056,0.021929,0.020396,0.020466
10:00:00 PM,0.021897,0.021022,0.021114,0.021021,0.021045,0.021065,0.01962,0.019369
10:30:00 PM,0.021087,0.020233,0.019976,0.01979,0.019843,0.020126,0.019056,0.018526
11:00:00 PM,0.020257,0.019424,0.018789,0.018579,0.018669,0.019145,0.0184,0.017731
11:30:00 PM,0.019529,0.018857,0.017851,0.01763,0.017826,0.018554,0.018116,0.017373
12:00:00 AM,0.019063,0.018532,0.017287,0.017122,0.017445,0.018526,0.018215,0.01741
